Pad;X_mm;Y_mm;Signal;Kategorie
U19;-1.88;-4.455;VSS;VSS
U20;-0.94;-4.455;VDDCR;VDDCR
U22;0.94;-4.455;VDDCR;VDDCR
U23;1.88;-4.455;VSS;VSS
U24;2.82;-4.455;VDDCR;VDDCR
U25;3.76;-4.455;VSS;VSS
U26;4.7;-4.455;VDDCR;VDDCR
U27;5.64;-4.455;VSS;VSS
U28;6.58;-4.455;VDDCR;VDDCR
U29;7.52;-4.455;VDDCR;VDDCR
U30;8.46;-4.455;VSS;VSS
U31;9.4;-4.455;VSS;VSS
U32;10.34;-4.455;MAA_CHECK[0];Speicher-B
U33;11.28;-4.455;VSS;VSS
U34;12.22;-4.455;MBA_CA[9];Speicher-A
U35;13.16;-4.455;VSS;VSS
U36;14.1;-4.455;MBA_CA[8];Speicher-A
U37;15.04;-4.455;VSS;VSS
U38;15.98;-4.455;VSS;VSS
U39;16.92;-4.455;MAA_CA[7];Speicher-B
U40;17.86;-4.455;MAA_CA[8];Speicher-B
U41;18.8;-4.455;VSS;VSS
V2;-17.86;-3.645;PCIE_TXP[8];PCIe
V3;-16.92;-3.645;VSS;VSS
V4;-15.98;-3.645;PCIE_TXN[9];PCIe
V5;-15.04;-3.645;VSS;VSS
V6;-14.1;-3.645;VSS;VSS
V7;-13.16;-3.645;VDDCR;VDDCR
V8;-12.22;-3.645;VDDCR;VDDCR
V9;-11.28;-3.645;PCIE_RXP[5];PCIe
V10;-10.34;-3.645;VSS;VSS
V11;-9.4;-3.645;PCIE_RXN[6];PCIe
V12;-8.46;-3.645;VSS;VSS
V13;-7.52;-3.645;VDDCR;VDDCR
V14;-6.58;-3.645;VSS;VSS
V15;-5.64;-3.645;VDDCR;VDDCR
V16;-4.7;-3.645;VSS;VSS
V17;-3.76;-3.645;VDDCR;VDDCR
V18;-2.82;-3.645;VSS;VSS
V19;-1.88;-3.645;VDDCR;VDDCR
V20;-0.94;-3.645;VSS;VSS
V21;0.0;-3.645;VDDCR;VDDCR
V22;0.94;-3.645;VSS;VSS
V23;1.88;-3.645;VDDCR;VDDCR
V24;2.82;-3.645;VSS;VSS
V25;3.76;-3.645;VDDCR;VDDCR
V26;4.7;-3.645;VSS;VSS
V27;5.64;-3.645;VDDCR;VDDCR
V28;6.58;-3.645;VSS;VSS
V29;7.52;-3.645;VDDCR;VDDCR
V30;8.46;-3.645;VSS;VSS
V31;9.4;-3.645;MAA_CHECK[2];Speicher-B
V32;10.34;-3.645;VSS;VSS
V33;11.28;-3.645;VSS;VSS
V34;12.22;-3.645;MBA_CA[11];Speicher-A
V35;13.16;-3.645;MBA_CA[10];Speicher-A
V36;14.1;-3.645;VSS;VSS
V37;15.04;-3.645;MAA_CA[9];Speicher-B
V38;15.98;-3.645;MAA_CA[10];Speicher-B
V39;16.92;-3.645;VSS;VSS
V40;17.86;-3.645;MAA_CA[11];Speicher-B
W1;-18.8;-2.835;VSS;VSS
W2;-17.86;-2.835;VSS;VSS
W3;-16.92;-2.835;PCIE_TXP[9];PCIe
W4;-15.98;-2.835;VSS;VSS
W5;-15.04;-2.835;PCIE_TXN[10];PCIe
W6;-14.1;-2.835;VSS;VSS
W7;-13.16;-2.835;VDDCR;VDDCR
W8;-12.22;-2.835;VDDCR;VDDCR
W9;-11.28;-2.835;VSS;VSS
W10;-10.34;-2.835;PCIE_RXP[6];PCIe
W11;-9.4;-2.835;VDDCR;VDDCR
W12;-8.46;-2.835;PCIE_RXN[7];PCIe
W13;-7.52;-2.835;VSS;VSS
W14;-6.58;-2.835;VDDCR;VDDCR
W15;-5.64;-2.835;VSS;VSS
W16;-4.7;-2.835;VDDCR;VDDCR
W17;-3.76;-2.835;VSS;VSS
W18;-2.82;-2.835;VDDCR;VDDCR
W19;-1.88;-2.835;VSS;VSS
W20;-0.94;-2.835;VDDCR;VDDCR
W22;0.94;-2.835;VDDCR;VDDCR
W23;1.88;-2.835;VSS;VSS
W24;2.82;-2.835;VDDCR;VDDCR
W25;3.76;-2.835;VSS;VSS
W26;4.7;-2.835;VDDCR;VDDCR
W27;5.64;-2.835;VSS;VSS
W28;6.58;-2.835;VDDCR;VDDCR
W29;7.52;-2.835;VSS;VSS
W30;8.46;-2.835;VDDCR;VDDCR
W31;9.4;-2.835;VSS;VSS
W32;10.34;-2.835;MAA_CHECK[1];Speicher-B
W33;11.28;-2.835;VSS;VSS
W34;12.22;-2.835;MBA_CA[13];Speicher-A
W35;13.16;-2.835;VSS;VSS
W36;14.1;-2.835;MBA_CA[12];Speicher-A
W37;15.04;-2.835;VSS;VSS
W38;15.98;-2.835;VSS;VSS
W39;16.92;-2.835;MAA_CA[12];Speicher-B
W40;17.86;-2.835;MAA0_CLK_H[0];Speicher-B
W41;18.8;-2.835;VSS;VSS
Y2;-17.86;-2.025;VSS;VSS
Y3;-16.92;-2.025;VSS;VSS
Y4;-15.98;-2.025;VSS;VSS
Y5;-15.04;-2.025;PCIE_TXP[10];PCIe
Y6;-14.1;-2.025;VSS;VSS
Y7;-13.16;-2.025;PCIE_TXN[11];PCIe
Y8;-12.22;-2.025;VDDCR;VDDCR
Y9;-11.28;-2.025;VSS;VSS
Y10;-10.34;-2.025;VDDCR;VDDCR
Y11;-9.4;-2.025;VSS;VSS
Y12;-8.46;-2.025;PCIE_RXP[7];PCIe
Y13;-7.52;-2.025;VDDCR;VDDCR
Y14;-6.58;-2.025;PCIE_RXN[8];PCIe
Y15;-5.64;-2.025;VDDCR;VDDCR
Y16;-4.7;-2.025;VSS;VSS
Y17;-3.76;-2.025;VDDCR;VDDCR
Y18;-2.82;-2.025;VSS;VSS
Y19;-1.88;-2.025;VDDCR;VDDCR
Y20;-0.94;-2.025;VSS;VSS
Y21;0.0;-2.025;VDDCR;VDDCR
Y22;0.94;-2.025;VSS;VSS
Y23;1.88;-2.025;VDDCR;VDDCR
Y24;2.82;-2.025;VSS;VSS
Y25;3.76;-2.025;VDDCR;VDDCR
Y26;4.7;-2.025;VSS;VSS
Y27;5.64;-2.025;VDDCR;VDDCR
Y28;6.58;-2.025;VSS;VSS
Y29;7.52;-2.025;VDDCR;VDDCR
Y30;8.46;-2.025;VSS;VSS
Y31;9.4;-2.025;MAA_CHECK[3];Speicher-B
Y32;10.34;-2.025;VSS;VSS
Y33;11.28;-2.025;VSS;VSS
Y34;12.22;-2.025;MBA0_CLK_L[0];Speicher-A
Y35;13.16;-2.025;MBA0_CLK_H[0];Speicher-A
Y36;14.1;-2.025;VSS;VSS
Y37;15.04;-2.025;MAA_CA[13];Speicher-B
Y38;15.98;-2.025;MAA0_CLK_H[1];Speicher-B
Y39;16.92;-2.025;VSS;VSS
Y40;17.86;-2.025;MAA0_CLK_L[0];Speicher-B
AA1;-18.8;-1.215;VSS;VSS
AA2;-17.86;-1.215;PCIE_TXP[12];PCIe
AA3;-16.92;-1.215;PCIE_TXN[12];PCIe
AA4;-15.98;-1.215;VSS;VSS
AA5;-15.04;-1.215;VSS;VSS
AA6;-14.1;-1.215;PCIE_TXP[11];PCIe
AA7;-13.16;-1.215;VDDCR;VDDCR
AA8;-12.22;-1.215;VDDCR;VDDCR
AA9;-11.28;-1.215;PCIE_RXN[9];PCIe
AA10;-10.34;-1.215;VDDCR;VDDCR
AA11;-9.4;-1.215;VSS;VSS
AA12;-8.46;-1.215;VDDCR;VDDCR
AA13;-7.52;-1.215;PCIE_RXP[8];PCIe
AA14;-6.58;-1.215;VDDCR;VDDCR
AA15;-5.64;-1.215;VSS;VSS
AA16;-4.7;-1.215;VDDCR;VDDCR
AA17;-3.76;-1.215;VSS;VSS
AA18;-2.82;-1.215;VDDCR;VDDCR
AA19;-1.88;-1.215;VSS;VSS
AA20;-0.94;-1.215;VDDCR;VDDCR
AA22;0.94;-1.215;VDDCR;VDDCR
AA23;1.88;-1.215;VSS;VSS
AA24;2.82;-1.215;VDDCR;VDDCR
AA25;3.76;-1.215;VSS;VSS
AA26;4.7;-1.215;VDDCR;VDDCR
AA27;5.64;-1.215;VSS;VSS
AA28;6.58;-1.215;VDDCR;VDDCR
AA29;7.52;-1.215;VDDCR;VDDCR
AA30;8.46;-1.215;VSS;VSS
AA31;9.4;-1.215;MAA_DQS_L[4];Speicher-B
AA32;10.34;-1.215;VSS;VSS
AA33;11.28;-1.215;MBA1_CLK_H[1];Speicher-A
AA34;12.22;-1.215;MBA1_CLK_L[0];Speicher-A
AA35;13.16;-1.215;VSS;VSS
AA36;14.1;-1.215;MBA0_CLK_H[1];Speicher-A
AA37;15.04;-1.215;VSS;VSS
AA38;15.98;-1.215;VSS;VSS
AA39;16.92;-1.215;MAA0_CLK_L[1];Speicher-B
AA40;17.86;-1.215;MAA1_CLK_H[0];Speicher-B
AA41;18.8;-1.215;VSS;VSS
AB2;-17.86;-0.405;VSS;VSS
AB3;-16.92;-0.405;VSS;VSS
AB4;-15.98;-0.405;VSS;VSS
AB5;-15.04;-0.405;VSS;VSS
AB6;-14.1;-0.405;VSS;VSS
AB7;-13.16;-0.405;VDDCR;VDDCR
AB8;-12.22;-0.405;VDDCR;VDDCR
AB9;-11.28;-0.405;PCIE_RXP[9];PCIe
AB10;-10.34;-0.405;VSS;VSS
AB11;-9.4;-0.405;PCIE_RXN[10];PCIe
AB12;-8.46;-0.405;PCIE_RXP[10];PCIe
AB13;-7.52;-0.405;VDDCR;VDDCR
AB14;-6.58;-0.405;VSS;VSS
AB15;-5.64;-0.405;VDDCR;VDDCR
AB16;-4.7;-0.405;VSS;VSS
AB17;-3.76;-0.405;VDDCR;VDDCR
AB18;-2.82;-0.405;VSS;VSS
AB19;-1.88;-0.405;VDDCR;VDDCR
AB20;-0.94;-0.405;VSS;VSS
AB21;0.0;-0.405;VDDCR;VDDCR
AB22;0.94;-0.405;VSS;VSS
AB23;1.88;-0.405;VDDCR;VDDCR
AB24;2.82;-0.405;VSS;VSS
AB25;3.76;-0.405;VDDCR;VDDCR
AB26;4.7;-0.405;VSS;VSS
AB27;5.64;-0.405;VDDCR;VDDCR
AB28;6.58;-0.405;VSS;VSS
AB29;7.52;-0.405;VSS;VSS
AB30;8.46;-0.405;MAA_DQS_H[4];Speicher-B
AB31;9.4;-0.405;VSS;VSS
AB32;10.34;-0.405;MBA1_CLK_L[1];Speicher-A
AB33;11.28;-0.405;VSS;VSS
AB34;12.22;-0.405;MBA1_CLK_H[0];Speicher-A
AB35;13.16;-0.405;MBA0_CLK_L[1];Speicher-A
AB36;14.1;-0.405;VSS;VSS
AB37;15.04;-0.405;MAA1_CLK_L[1];Speicher-B
AB38;15.98;-0.405;MAA1_CLK_H[1];Speicher-B
AB39;16.92;-0.405;VSS;VSS
AB40;17.86;-0.405;MAA1_CLK_L[0];Speicher-B
AC2;-17.86;0.405;PCIE_TXN[14];PCIe
AC3;-16.92;0.405;VSS;VSS
AC4;-15.98;0.405;PCIE_TXN[13];PCIe
AC5;-15.04;0.405;PCIE_TXP[13];PCIe
AC6;-14.1;0.405;VSS;VSS
AC7;-13.16;0.405;VDDCR;VDDCR
AC8;-12.22;0.405;VDDCR;VDDCR
AC9;-11.28;0.405;VSS;VSS
AC10;-10.34;0.405;VDDCR;VDDCR
AC11;-9.4;0.405;VSS;VSS
AC12;-8.46;0.405;VDDCR;VDDCR
AC13;-7.52;0.405;VSS;VSS
AC14;-6.58;0.405;VDDCR;VDDCR
AC15;-5.64;0.405;PCIE_RXN[11];PCIe
AC16;-4.7;0.405;PCIE_RXP[11];PCIe
AC17;-3.76;0.405;VSS;VSS
AC18;-2.82;0.405;VDDCR;VDDCR
AC19;-1.88;0.405;VSS;VSS
AC20;-0.94;0.405;VDDCR;VDDCR
AC21;0.0;0.405;VSS;VSS
AC22;0.94;0.405;VDDCR;VDDCR
AC23;1.88;0.405;VSS;VSS
AC24;2.82;0.405;VDDCR;VDDCR
AC25;3.76;0.405;VSS;VSS
AC26;4.7;0.405;VDDCR;VDDCR
AC27;5.64;0.405;VSS;VSS
AC28;6.58;0.405;VDDCR;VDDCR
AC29;7.52;0.405;VSS;VSS
AC30;8.46;0.405;MAB_DQS_L[4];Speicher-B
AC31;9.4;0.405;VSS;VSS
AC32;10.34;0.405;MBB1_CLK_H[1];Speicher-A
AC33;11.28;0.405;VSS;VSS
AC34;12.22;0.405;MBB1_CLK_L[0];Speicher-A
AC35;13.16;0.405;MBB0_CLK_H[1];Speicher-A
AC36;14.1;0.405;VSS;VSS
AC37;15.04;0.405;MAB1_CLK_H[1];Speicher-B
AC38;15.98;0.405;MAB1_CLK_L[1];Speicher-B
AC39;16.92;0.405;VSS;VSS
AC40;17.86;0.405;MAB1_CLK_H[0];Speicher-B
AD1;-18.8;1.215;VSS;VSS
AD2;-17.86;1.215;PCIE_TXP[14];PCIe
AD3;-16.92;1.215;VSS;VSS
AD4;-15.98;1.215;VSS;VSS
AD5;-15.04;1.215;VSS;VSS
AD6;-14.1;1.215;PCIE_TXP[15];PCIe
AD7;-13.16;1.215;VDDCR;VDDCR
AD8;-12.22;1.215;VDDCR;VDDCR
AD9;-11.28;1.215;PCIE_RXN[12];PCIe
AD10;-10.34;1.215;PCIE_RXP[12];PCIe
AD11;-9.4;1.215;VDDCR;VDDCR
AD12;-8.46;1.215;VSS;VSS
AD13;-7.52;1.215;PCIE_RXN[13];PCIe
AD14;-6.58;1.215;VSS;VSS
AD15;-5.64;1.215;VDDCR;VDDCR
AD16;-4.7;1.215;VSS;VSS
AD17;-3.76;1.215;VDDCR;VDDCR
AD18;-2.82;1.215;VSS;VSS
AD19;-1.88;1.215;VDDCR;VDDCR
AD20;-0.94;1.215;VSS;VSS
AD22;0.94;1.215;VSS;VSS
AD23;1.88;1.215;VDDCR;VDDCR
AD24;2.82;1.215;VSS;VSS
AD25;3.76;1.215;VDDCR;VDDCR
AD26;4.7;1.215;VSS;VSS
AD27;5.64;1.215;VDDCR;VDDCR
AD28;6.58;1.215;VSS;VSS
AD29;7.52;1.215;VDDCR;VDDCR
AD30;8.46;1.215;VSS;VSS
AD31;9.4;1.215;MAB_DQS_H[4];Speicher-B
AD32;10.34;1.215;VSS;VSS
AD33;11.28;1.215;MBB1_CLK_L[1];Speicher-A
AD34;12.22;1.215;MBB1_CLK_H[0];Speicher-A
AD35;13.16;1.215;VSS;VSS
AD36;14.1;1.215;MBB0_CLK_L[1];Speicher-A
AD37;15.04;1.215;VSS;VSS
AD38;15.98;1.215;VSS;VSS
AD39;16.92;1.215;MAB0_CLK_H[1];Speicher-B
AD40;17.86;1.215;MAB1_CLK_L[0];Speicher-B
AD41;18.8;1.215;VSS;VSS
AE2;-17.86;2.025;VSS;VSS
AE3;-16.92;2.025;VSS;VSS
AE4;-15.98;2.025;VSS;VSS
AE5;-15.04;2.025;PCIE_TXP[16];PCIe
AE6;-14.1;2.025;VSS;VSS
AE7;-13.16;2.025;PCIE_TXN[15];PCIe
AE8;-12.22;2.025;VDDCR;VDDCR
AE9;-11.28;2.025;VSS;VSS
AE10;-10.34;2.025;VDDCR;VDDCR
AE11;-9.4;2.025;VSS;VSS
AE12;-8.46;2.025;PCIE_RXN[14];PCIe
AE13;-7.52;2.025;VSS;VSS
AE14;-6.58;2.025;PCIE_RXP[13];PCIe
AE15;-5.64;2.025;VSS;VSS
AE16;-4.7;2.025;VDDCR;VDDCR
AE17;-3.76;2.025;VSS;VSS
AE18;-2.82;2.025;VDDCR;VDDCR
AE19;-1.88;2.025;VSS;VSS
AE20;-0.94;2.025;VDDCR;VDDCR
AE21;0.0;2.025;VSS;VSS
AE22;0.94;2.025;VDDCR;VDDCR
AE23;1.88;2.025;VSS;VSS
AE24;2.82;2.025;VDDCR;VDDCR
AE25;3.76;2.025;VSS;VSS
AE26;4.7;2.025;VDDCR;VDDCR
AE27;5.64;2.025;VSS;VSS
AE28;6.58;2.025;VDDCR;VDDCR
AE29;7.52;2.025;VDDCR;VDDCR
AE30;8.46;2.025;VSS;VSS
AE31;9.4;2.025;MAB_CHECK[0];Speicher-B
AE32;10.34;2.025;VSS;VSS
AE33;11.28;2.025;VSS;VSS
AE34;12.22;2.025;MBB0_CLK_H[0];Speicher-A
AE35;13.16;2.025;MBB0_CLK_L[0];Speicher-A
AE36;14.1;2.025;VSS;VSS
AE37;15.04;2.025;MAB_CA[13];Speicher-B
AE38;15.98;2.025;MAB0_CLK_L[1];Speicher-B
AE39;16.92;2.025;VSS;VSS
AE40;17.86;2.025;MAB0_CLK_H[0];Speicher-B
AF1;-18.8;2.835;VSS;VSS
AF2;-17.86;2.835;VSS;VSS
AF3;-16.92;2.835;PCIE_TXN[17];PCIe
AF4;-15.98;2.835;VSS;VSS
AF5;-15.04;2.835;PCIE_TXN[16];PCIe
AF6;-14.1;2.835;VSS;VSS
AF7;-13.16;2.835;VDDCR;VDDCR
AF8;-12.22;2.835;VDDCR;VDDCR
AF9;-11.28;2.835;VSS;VSS
AF10;-10.34;2.835;PCIE_RXN[15];PCIe
AF11;-9.4;2.835;VDDCR;VDDCR
AF12;-8.46;2.835;PCIE_RXP[14];PCIe
AF13;-7.52;2.835;VDDCR;VDDCR
AF14;-6.58;2.835;VSS;VSS
AF15;-5.64;2.835;VDDCR;VDDCR
AF16;-4.7;2.835;VSS;VSS
AF17;-3.76;2.835;VDDCR;VDDCR
AF18;-2.82;2.835;VSS;VSS
AF19;-1.88;2.835;VDDCR;VDDCR
AF20;-0.94;2.835;VSS;VSS
AF22;0.94;2.835;VSS;VSS
AF23;1.88;2.835;VDDCR;VDDCR
AF24;2.82;2.835;VSS;VSS
AF25;3.76;2.835;VDDCR;VDDCR
AF26;4.7;2.835;VSS;VSS
AF27;5.64;2.835;VDDCR;VDDCR
AF28;6.58;2.835;VSS;VSS
AF29;7.52;2.835;VSS;VSS
AF30;8.46;2.835;VDDCR;VDDCR
AF31;9.4;2.835;VSS;VSS
AF32;10.34;2.835;MAB_CHECK[2];Speicher-B
AF33;11.28;2.835;VSS;VSS
AF34;12.22;2.835;MBB_CA[13];Speicher-A
AF35;13.16;2.835;VSS;VSS
AF36;14.1;2.835;MBB_CA[12];Speicher-A
AF37;15.04;2.835;VSS;VSS
AF38;15.98;2.835;VSS;VSS
AF39;16.92;2.835;MAB_CA[12];Speicher-B
AF40;17.86;2.835;MAB0_CLK_L[0];Speicher-B
AF41;18.8;2.835;VSS;VSS
AG2;-17.86;3.645;PCIE_TXP[18];PCIe
AG3;-16.92;3.645;VSS;VSS
AG4;-15.98;3.645;PCIE_TXP[17];PCIe
AG5;-15.04;3.645;VSS;VSS
AG6;-14.1;3.645;VSS;VSS
AG7;-13.16;3.645;VDDCR;VDDCR
AG8;-12.22;3.645;VDDCR;VDDCR
AG9;-11.28;3.645;PCIE_RXN[16];PCIe
AG10;-10.34;3.645;VSS;VSS
AG11;-9.4;3.645;PCIE_RXP[15];PCIe
AG12;-8.46;3.645;VDDCR;VDDCR
AG13;-7.52;3.645;VSS;VSS
AG14;-6.58;3.645;VDDCR;VDDCR
AG15;-5.64;3.645;VSS;VSS
AG16;-4.7;3.645;VDDCR;VDDCR
AG17;-3.76;3.645;VSS;VSS
AG18;-2.82;3.645;VDDCR;VDDCR
AG19;-1.88;3.645;VSS;VSS
AG20;-0.94;3.645;VDDCR;VDDCR
AG21;0.0;3.645;VSS;VSS
AG22;0.94;3.645;VDDCR;VDDCR
AG23;1.88;3.645;VSS;VSS
AG24;2.82;3.645;VDDCR;VDDCR
AG25;3.76;3.645;VSS;VSS
AG26;4.7;3.645;VDDCR;VDDCR
AG27;5.64;3.645;VSS;VSS
AG28;6.58;3.645;VDDCR;VDDCR
AG29;7.52;3.645;VDDCR;VDDCR
AG30;8.46;3.645;VSS;VSS
AG31;9.4;3.645;MAB_CHECK[1];Speicher-B
AG32;10.34;3.645;VSS;VSS
AG33;11.28;3.645;VSS;VSS
AG34;12.22;3.645;MBB_CA[11];Speicher-A
AG35;13.16;3.645;MBB_CA[10];Speicher-A
AG36;14.1;3.645;VSS;VSS
AG37;15.04;3.645;MAB_CA[9];Speicher-B
AG38;15.98;3.645;MAB_CA[10];Speicher-B
AG39;16.92;3.645;VSS;VSS
AG40;17.86;3.645;MAB_CA[11];Speicher-B
AH1;-18.8;4.455;VSS;VSS
AH2;-17.86;4.455;PCIE_TXN[18];PCIe
AH3;-16.92;4.455;VSS;VSS
AH4;-15.98;4.455;VSS;VSS
AH5;-15.04;4.455;VSS;VSS
AH6;-14.1;4.455;PCIE_TXN[19];PCIe
AH7;-13.16;4.455;VDDCR;VDDCR
AH8;-12.22;4.455;VDDCR;VDDCR
AH9;-11.28;4.455;PCIE_RXP[16];PCIe
AH10;-10.34;4.455;VDDCR;VDDCR
AH11;-9.4;4.455;VSS;VSS
AH12;-8.46;4.455;VSS;VSS
AH13;-7.52;4.455;PCIE_RXN[17];PCIe
AH14;-6.58;4.455;VSS;VSS
AH15;-5.64;4.455;VDDCR;VDDCR
AH16;-4.7;4.455;VSS;VSS
AH17;-3.76;4.455;VDDCR;VDDCR
AH18;-2.82;4.455;VSS;VSS
AH19;-1.88;4.455;VDDCR;VDDCR
AH20;-0.94;4.455;VSS;VSS
AH22;0.94;4.455;VSS;VSS
AH23;1.88;4.455;VDDCR;VDDCR
AH24;2.82;4.455;VSS;VSS
AH25;3.76;4.455;VDDCR;VDDCR
AH26;4.7;4.455;VSS;VSS
AH27;5.64;4.455;VDDCR;VDDCR
AH28;6.58;4.455;VSS;VSS
AH29;7.52;4.455;VDDCR;VDDCR
AH30;8.46;4.455;VSS;VSS
AH31;9.4;4.455;VSS;VSS
AH32;10.34;4.455;MAB_CHECK[3];Speicher-B
AH33;11.28;4.455;VSS;VSS
AH34;12.22;4.455;MBB_CA[9];Speicher-A
AH35;13.16;4.455;VSS;VSS
AH36;14.1;4.455;MBB_CA[8];Speicher-A
AH37;15.04;4.455;VSS;VSS
AH38;15.98;4.455;VSS;VSS
AH39;16.92;4.455;MAB_CA[7];Speicher-B
AH40;17.86;4.455;MAB_CA[8];Speicher-B
AH41;18.8;4.455;VSS;VSS
AJ2;-17.86;5.265;VSS;VSS
AJ3;-16.92;5.265;VSS;VSS
AJ4;-15.98;5.265;VSS;VSS
AJ5;-15.04;5.265;PCIE_TXP[20];PCIe
AJ6;-14.1;5.265;VSS;VSS
AJ7;-13.16;5.265;PCIE_TXP[19];PCIe
AJ8;-12.22;5.265;VDDCR;VDDCR
AJ9;-11.28;5.265;VSS;VSS
AJ10;-10.34;5.265;VSS;VSS
AJ11;-9.4;5.265;VDDCR;VDDCR
AJ12;-8.46;5.265;PCIE_RXN[18];PCIe
AJ13;-7.52;5.265;VSS;VSS
AJ14;-6.58;5.265;PCIE_RXP[17];PCIe
AJ15;-5.64;5.265;VSS;VSS
AJ16;-4.7;5.265;PCIE_RXN[24];PCIe
AJ17;-3.76;5.265;PCIE_RXP[24];PCIe
AJ18;-2.82;5.265;VDDCR;VDDCR
AJ19;-1.88;5.265;VSS;VSS
AJ20;-0.94;5.265;VDDCR;VDDCR
AJ21;0.0;5.265;VSS;VSS
AJ22;0.94;5.265;VDDCR;VDDCR
AJ23;1.88;5.265;VSS;VSS
AJ24;2.82;5.265;VDDCR;VDDCR
AJ25;3.76;5.265;VSS;VSS
AJ26;4.7;5.265;VDDCR;VDDCR
AJ27;5.64;5.265;VSS;VSS
AJ28;6.58;5.265;VDDCR;VDDCR
AJ29;7.52;5.265;VSS;VSS
AJ30;8.46;5.265;MBB_DQS_L[4];Speicher-A
AJ31;9.4;5.265;VSS;VSS
AJ32;10.34;5.265;VSS;VSS
AJ33;11.28;5.265;VSS;VSS
AJ34;12.22;5.265;MBB_CA[7];Speicher-A
AJ35;13.16;5.265;MBB_CA[6];Speicher-A
AJ36;14.1;5.265;VSS;VSS
AJ37;15.04;5.265;MAB_CA[4];Speicher-B
AJ38;15.98;5.265;MAB_CA[5];Speicher-B
AJ39;16.92;5.265;VSS;VSS
AJ40;17.86;5.265;MAB_CA[6];Speicher-B
AK1;-18.8;6.075;VSS;VSS
AK2;-17.86;6.075;VSS;VSS
AK3;-16.92;6.075;PCIE_TXN[21];PCIe
AK4;-15.98;6.075;VSS;VSS
AK5;-15.04;6.075;PCIE_TXN[20];PCIe
AK6;-14.1;6.075;VSS;VSS
AK7;-13.16;6.075;VDDCR;VDDCR
AK8;-12.22;6.075;VDDCR;VDDCR
AK9;-11.28;6.075;VSS;VSS
AK10;-10.34;6.075;PCIE_RXN[19];PCIe
AK11;-9.4;6.075;VSS;VSS
AK12;-8.46;6.075;PCIE_RXP[18];PCIe
AK13;-7.52;6.075;VDDCR;VDDCR
AK14;-6.58;6.075;VSS;VSS
AK15;-5.64;6.075;VDDCR;VDDCR
AK16;-4.7;6.075;VSS;VSS
AK17;-3.76;6.075;VDDCR;VDDCR
AK18;-2.82;6.075;VSS;VSS
AK19;-1.88;6.075;VDDCR;VDDCR
AK20;-0.94;6.075;VSS;VSS
AK22;0.94;6.075;VSS;VSS
AK23;1.88;6.075;VDDCR;VDDCR
AK24;2.82;6.075;VSS;VSS
AK25;3.76;6.075;VDDCR;VDDCR
AK26;4.7;6.075;VSS;VSS
AK27;5.64;6.075;VDDCR;VDDCR
AK28;6.58;6.075;VSS;VSS
AK29;7.52;6.075;TEST40A;GPIO/SPI/SMBus
AK30;8.46;6.075;VSS;VSS
AK31;9.4;6.075;MBB_DQS_H[4];Speicher-A
AK32;10.34;6.075;MBB_CHECK[0];Speicher-A
AK33;11.28;6.075;VSS;VSS
AK34;12.22;6.075;MBB_CA[5];Speicher-A
AK35;13.16;6.075;VSS;VSS
AK36;14.1;6.075;MBB_CA[4];Speicher-A
AK37;15.04;6.075;VSS;VSS
AK38;15.98;6.075;VSS;VSS
AK39;16.92;6.075;MAB_CA[2];Speicher-B
AK40;17.86;6.075;MAB_CA[3];Speicher-B
AK41;18.8;6.075;VSS;VSS
AL2;-17.86;6.885;PCIE_TXP[22];PCIe
AL3;-16.92;6.885;VSS;VSS
AL4;-15.98;6.885;PCIE_TXP[21];PCIe
AL5;-15.04;6.885;VSS;VSS
AL6;-14.1;6.885;VSS;VSS
AL7;-13.16;6.885;VDDCR;VDDCR
AL8;-12.22;6.885;VDDCR;VDDCR
AL9;-11.28;6.885;PCIE_RXN[20];PCIe
AL10;-10.34;6.885;VSS;VSS
AL11;-9.4;6.885;PCIE_RXP[19];PCIe
AL12;-8.46;6.885;VDDCR;VDDCR
AL13;-7.52;6.885;VSS;VSS
AL14;-6.58;6.885;VDDCR;VDDCR
AL15;-5.64;6.885;VSS;VSS
AL16;-4.7;6.885;PCIE_RXN[25];PCIe
AL17;-3.76;6.885;PCIE_RXP[25];PCIe
AL18;-2.82;6.885;VDDCR;VDDCR
AL19;-1.88;6.885;VSS;VSS
AL20;-0.94;6.885;VDDCR;VDDCR
AL21;0.0;6.885;VSS;VSS
AL22;0.94;6.885;VDDCR;VDDCR
AL23;1.88;6.885;VSS;VSS
AL24;2.82;6.885;VDDCR;VDDCR
AL25;3.76;6.885;VSS;VSS
AL26;4.7;6.885;VDDCR;VDDCR
AL27;5.64;6.885;VSS;VSS
AL28;6.58;6.885;VDDCR;VDDCR
AL29;7.52;6.885;TEST40B;GPIO/SPI/SMBus
AL30;8.46;6.885;VSS;VSS
AL31;9.4;6.885;MBB_CHECK[2];Speicher-A
AL32;10.34;6.885;VSS;VSS
AL33;11.28;6.885;VSS;VSS
AL34;12.22;6.885;MBB_CA[3];Speicher-A
AL35;13.16;6.885;MBB_CA[2];Speicher-A
AL36;14.1;6.885;VSS;VSS
AL37;15.04;6.885;MAB1_CS_L[1];Speicher-B
AL38;15.98;6.885;MAB_CA[0];Speicher-B
AL39;16.92;6.885;VSS;VSS
AL40;17.86;6.885;MAB_CA[1];Speicher-B
AM1;-18.8;7.695;VSS;VSS
AM2;-17.86;7.695;PCIE_TXN[22];PCIe
